1,1607503700.0937636,notification,scroll_down
2,1607503702.8267648,subscription,scroll_down
3,1607503706.7917638,subscription,add_to_queue
4,1607503713.2447653,next,click
5,1607503719.8797648,play,go_forward
6,1607503721.8367648,play,go_forward
7,1607503724.1939235,play,scroll_down
8,1607503730.6285233,play,play
9,1607503737.6513972,play,play
10,1607503738.88029,play,go_back
11,1607503743.839356,previous,watch_later
12,1607503744.7143552,ignored
13,1607503747.3293273,add_to_queue,add_to_queue
14,1607503750.1404333,play,play
15,1607503776.1750827,delete,maximize
16,1607503777.564083,ignored
17,1607503781.1305737,delete,maximize
18,1607503782.623421,delete,maximize
